number,value,datetime_start,datetime_complete,duration,params_baggingFraction,params_baggingFreq,params_featureFraction,params_lambdaL1,params_lambdaL2,params_learningRate,params_maxBin,params_maxDepth,params_minDataInLeaf,params_minGainToSplit,params_numLeaves,user_attrs_best_iteration,user_attrs_fit_seconds,user_attrs_test_auc,user_attrs_valid_auc,system_attrs_fixed_params,state
36,0.6898870332951201,2026-05-25 02:32:36.786025,2026-05-25 02:32:42.573958,0 days 00:00:05.787933,0.9905425638386204,3,0.8406952681265599,0.43225239425213013,3.8449106191953684,0.011753905726561266,127,8,20,0.4596894043462893,63,47,5.672712087631226,0.6957489542582497,0.6898870332951201,,COMPLETE
37,0.6899609306754405,2026-05-25 02:32:42.650413,2026-05-25 02:32:48.650297,0 days 00:00:05.999884,0.74881887449634,5,0.8001146625793745,1.378642437114645e-07,0.10786808832502442,0.019507700816968437,255,10,100,0.8142980829466633,127,49,5.8955981731414795,0.6949202271717678,0.6899609306754405,,COMPLETE
38,0.6888902307199181,2026-05-25 02:32:48.742233,2026-05-25 02:32:54.920844,0 days 00:00:06.178611,0.8004124293086317,1,0.9549077312339501,0.04207045786367701,0.0005359002625465881,0.010008466659417774,63,8,50,0.2046249000638658,63,129,6.080294370651245,0.6935984446121107,0.6888902307199181,,COMPLETE
39,0.6919896283808633,2026-05-25 02:32:55.003665,2026-05-25 02:33:00.811674,0 days 00:00:05.808009,0.7191120861592121,3,0.9867176398789584,0.0003152271343580496,0.033495168820718235,0.026512757833081758,127,10,20,0.9964819045195246,31,142,5.689663887023926,0.6994515923987223,0.6919896283808633,,COMPLETE
40,0.6915186340887108,2026-05-25 02:33:00.889625,2026-05-25 02:33:06.452050,0 days 00:00:05.562425,0.7132846338143077,3,0.996023577024146,0.00030916468073551663,2.7807631433876882e-08,0.029425198941884802,127,10,20,0.9818264826237721,31,122,5.4319987297058105,0.7010241640947583,0.6915186340887108,,COMPLETE
41,0.6901530986668076,2026-05-25 02:33:06.531959,2026-05-25 02:33:11.885201,0 days 00:00:05.353242,0.7344050989570311,3,0.9852350145623131,2.1723992808622103e-05,0.016486648313420643,0.01507571779897941,127,10,20,0.9081803358967944,31,71,5.247347593307495,0.6971430078549115,0.6901530986668076,,COMPLETE
42,0.6922192090961758,2026-05-25 02:33:11.970668,2026-05-25 02:33:17.562192,0 days 00:00:05.591524,0.7165890794490846,3,0.962660063387498,2.4860806989514334e-06,0.00680446847549397,0.02433073869015901,127,10,20,0.9493349147110903,31,121,5.492065906524658,0.6995478194129334,0.6922192090961758,,COMPLETE
43,0.6932470439307744,2026-05-25 02:33:17.635590,2026-05-25 02:33:23.543273,0 days 00:00:05.907683,0.7138598411323684,3,0.781361535660911,1.211151834478123e-06,0.005719457041749438,0.03571416787822959,127,10,20,0.9522477716880886,31,187,5.780238151550293,0.6980159613608516,0.6932470439307744,,COMPLETE
44,0.6912475223496074,2026-05-25 02:33:23.626825,2026-05-25 02:33:29.011515,0 days 00:00:05.384690,0.7244532307701468,3,0.7749333236755425,1.1758113561388687e-06,0.006062554304507794,0.037494384963801836,127,10,20,0.9961559578224025,31,72,5.28270411491394,0.6987281334043874,0.6912475223496074,,COMPLETE
45,0.6911516413687048,2026-05-25 02:33:29.086711,2026-05-25 02:33:34.480804,0 days 00:00:05.394093,0.7579908044040007,3,0.7560985887180646,3.675517635889149e-08,0.0010066720323290378,0.051374576884890964,127,10,20,0.9399867483857427,31,96,5.288451433181763,0.6974345682217282,0.6911516413687048,,COMPLETE
46,0.692118165739411,2026-05-25 02:33:34.559589,2026-05-25 02:33:40.529825,0 days 00:00:05.970236,0.7380012751790029,3,0.8035079500597004,9.996437041643486e-07,0.00576624158344129,0.03209855323834205,127,10,20,0.9632182181543115,31,177,5.876194000244141,0.6977403524500111,0.692118165739411,,COMPLETE
47,0.6903050117272939,2026-05-25 02:33:40.590931,2026-05-25 02:33:45.751439,0 days 00:00:05.160508,0.7376808752979077,3,0.8071173369708082,7.767204642622258e-07,9.996056077189268e-05,0.04294762504794764,127,10,20,0.9168996309773267,31,78,5.05750036239624,0.6988337470154365,0.6903050117272939,,COMPLETE
48,0.6901960797961776,2026-05-25 02:33:45.830453,2026-05-25 02:33:51.367228,0 days 00:00:05.536775,0.9566203868577469,3,0.7817734918420306,2.731518890480658e-06,0.009579667446816703,0.032415027018838666,127,10,20,0.8372215549945421,31,85,5.414851665496826,0.6997756315423285,0.6901960797961776,,COMPLETE
49,0.6905218315135091,2026-05-25 02:33:51.466818,2026-05-25 02:33:56.929141,0 days 00:00:05.462323,0.8857674312828763,3,0.7664281524193259,3.938768689937321e-07,2.1436699556501393e-05,0.04956525699589559,127,10,20,0.9534078141759963,31,67,5.342349052429199,0.6976236822340977,0.6905218315135091,,COMPLETE
